COMP SCI 2201 - Alg Data Structure Analysis UG,,,
Lecture,,,
28 Jul - 15 Sep,Monday,3:00 PM - 4:00 PM,"Scott Theatre 001, Scott Theatre"
01 Aug - 19 Sep,Friday,3:00 PM - 4:00 PM,"The Braggs G60, Bragg Lecture Theatre"
06 Oct - 27 Oct,Monday,3:00 PM - 4:00 PM,"Scott Theatre 001, Scott Theatre"
10 Oct - 31 Oct,Friday,3:00 PM - 4:00 PM,"The Braggs G60, Bragg Lecture Theatre"
Workshop,,,
07 Aug,Thursday,10:00 AM - 11:00 AM,"Lower Napier LG09, Teaching Room"
21 Aug,Thursday,10:00 AM - 11:00 AM,"Lower Napier LG09, Teaching Room"
04 Sep,Thursday,10:00 AM - 11:00 AM,"Lower Napier LG09, Teaching Room"
18 Sep,Thursday,10:00 AM - 11:00 AM,"Lower Napier LG09, Teaching Room"
16 Oct,Thursday,10:00 AM - 11:00 AM,"Lower Napier LG09, Teaching Room"
30 Oct,Thursday,10:00 AM - 11:00 AM,"Lower Napier LG09, Teaching Room"
COMP SCI 2203 - Problem Solving & Software UG,,,
Workshop,,,
29 Jul - 16 Sep,Tuesday,3:00 PM - 5:00 PM,"Badger G31, Macbeth Lecture Theatre"
07 Oct - 28 Oct,Tuesday,3:00 PM - 5:00 PM,"Badger G31, Macbeth Lecture Theatre"
Practical,,,
30 Jul - 17 Sep,Wednesday,4:00 PM - 6:00 PM,"Ingkarni Wardli B23, CAT Suite"
08 Oct - 29 Oct,Wednesday,4:00 PM - 6:00 PM,"Ingkarni Wardli B23, CAT Suite"
COMP SCI 2206 - Software Engineering Wkshop II,,,
Lecture,,,
31 Jul - 18 Sep,Thursday,11:00 AM - 1:00 PM,"Lower Napier LG28, Lecture Theatre"
09 Oct - 30 Oct,Thursday,11:00 AM - 1:00 PM,"Lower Napier LG28, Lecture Theatre"
Workshop,,,
01 Aug - 19 Sep,Friday,11:00 AM - 1:00 PM,"Ingkarni Wardli 236, CAT Suite"
10 Oct - 31 Oct,Friday,11:00 AM - 1:00 PM,"Ingkarni Wardli 236, CAT Suite"
MATHS 2107 - Statistics & Num Methods II,,,
Seminar,,,
29 Jul - 16 Sep,Tuesday,3:00 PM - 4:00 PM,"Scott Theatre 001, Scott Theatre"
07 Oct - 28 Oct,Tuesday,3:00 PM - 4:00 PM,"Scott Theatre 001, Scott Theatre"
Workshop,,,
04 Aug,Monday,1:00 PM - 2:00 PM,"Engineering & Mathematics EM218, Teaching Room"
18 Aug,Monday,1:00 PM - 2:00 PM,"Engineering & Mathematics EM218, Teaching Room"
01 Sep,Monday,1:00 PM - 2:00 PM,"Engineering & Mathematics EM218, Teaching Room"
15 Sep,Monday,1:00 PM - 2:00 PM,"Engineering & Mathematics EM218, Teaching Room"
13 Oct,Monday,1:00 PM - 2:00 PM,"Engineering & Mathematics EM218, Teaching Room"
27 Oct,Monday,1:00 PM - 2:00 PM,"Engineering & Mathematics EM218, Teaching Room"
Practical,,,
31 Jul,Thursday,9:00 AM - 10:00 AM,"Engineering & Mathematics EMG13, Computer Suite"
14 Aug,Thursday,9:00 AM - 10:00 AM,"Engineering & Mathematics EMG13, Computer Suite"
28 Aug,Thursday,9:00 AM - 10:00 AM,"Engineering & Mathematics EMG13, Computer Suite"
11 Sep,Thursday,9:00 AM - 10:00 AM,"Engineering & Mathematics EMG13, Computer Suite"
09 Oct,Thursday,9:00 AM - 10:00 AM,"Engineering & Mathematics EMG13, Computer Suite"
23 Oct,Thursday,9:00 AM - 10:00 AM,"Engineering & Mathematics EMG13, Computer Suite"
